Reader,case number,Modality (color scale),Confidence score
Low1,141,Grayscale,31
Low1,142,Grayscale,54
Low1,143,Grayscale,88
Low1,144,Grayscale,88
Low1,145,Grayscale,54
Low1,146,Grayscale,32
Low1,147,Grayscale,55
Low1,148,Grayscale,33
Low1,149,Grayscale,66
Low1,150,Grayscale,99
Low1,151,Grayscale,75
Low1,152,Grayscale,54
Low1,153,Grayscale,21
Low1,154,Grayscale,66
Low1,155,Grayscale,88
Low1,156,Grayscale,22
Low1,157,Grayscale,42
Low1,158,Grayscale,76
Low1,159,Grayscale,32
Low1,160,Grayscale,75
Low1,161,Grayscale,65
Low1,162,Grayscale,65
Low1,163,Grayscale,55
Low1,164,Grayscale,32
Low1,165,Grayscale,52
Low1,166,Grayscale,77
Low1,167,Grayscale,20
Low1,168,Grayscale,87
Low1,169,Grayscale,65
Low1,170,Grayscale,42
Low1,171,Grayscale,23
Low1,172,Grayscale,10
Low1,173,Grayscale,10
Low1,174,Grayscale,54
Low1,175,Grayscale,54
Low1,176,Grayscale,21
Low1,177,Grayscale,55
Low1,178,Grayscale,23
Low1,179,Grayscale,54
Low1,180,Grayscale,44
Low1,181,Grayscale,54
Low1,182,Grayscale,44
Low1,183,Grayscale,32
Low1,184,Grayscale,66
Low1,185,Grayscale,90
Low1,186,Grayscale,32
Low1,187,Grayscale,43
Low1,188,Grayscale,11
Low1,189,Grayscale,43
Low1,190,Grayscale,31
Low1,191,Grayscale,42
Low1,192,Grayscale,43
Low1,193,Grayscale,43
Low1,194,Grayscale,33
Low1,195,Grayscale,75
Low1,196,Grayscale,10
Low1,197,Grayscale,32
Low1,198,Grayscale,43
Low1,199,Grayscale,66
Low1,200,Grayscale,33
Low1,201,Grayscale,21
Low1,202,Grayscale,55
Low1,203,Grayscale,32
Low1,204,Grayscale,31
Low1,205,Grayscale,43
Low1,206,Grayscale,76
Low1,207,Grayscale,43
Low1,208,Grayscale,22
Low1,209,Grayscale,33
Low1,210,Grayscale,42
High1,1,Grayscale,41
High1,2,Grayscale,40
High1,3,Grayscale,25
High1,4,Grayscale,30
High1,5,Grayscale,36
High1,6,Grayscale,59
High1,7,Grayscale,85
High1,8,Grayscale,68
High1,9,Grayscale,37
High1,10,Grayscale,55
High1,11,Grayscale,72
High1,12,Grayscale,53
High1,13,Grayscale,76
High1,14,Grayscale,30
High1,15,Grayscale,80
High1,16,Grayscale,54
High1,17,Grayscale,88
High1,18,Grayscale,55
High1,19,Grayscale,12
High1,20,Grayscale,72
High1,21,Grayscale,24
High1,22,Grayscale,64
High1,23,Grayscale,84
High1,24,Grayscale,89
High1,25,Grayscale,29
High1,26,Grayscale,55
High1,27,Grayscale,41
High1,28,Grayscale,30
High1,29,Grayscale,54
High1,30,Grayscale,91
High1,31,Grayscale,15
High1,32,Grayscale,91
High1,33,Grayscale,35
High1,34,Grayscale,66
High1,35,Grayscale,12
High1,36,Grayscale,36
High1,37,Grayscale,7
High1,38,Grayscale,14
High1,39,Grayscale,39
High1,40,Grayscale,11
High1,41,Grayscale,55
High1,42,Grayscale,61
High1,43,Grayscale,65
High1,44,Grayscale,22
High1,45,Grayscale,56
High1,46,Grayscale,30
High1,47,Grayscale,24
High1,48,Grayscale,14
High1,49,Grayscale,39
High1,50,Grayscale,86
High1,51,Grayscale,77
High1,52,Grayscale,63
High1,53,Grayscale,30
High1,54,Grayscale,11
High1,55,Grayscale,66
High1,56,Grayscale,7
High1,57,Grayscale,11
High1,58,Grayscale,54
High1,59,Grayscale,92
High1,60,Grayscale,41
High1,61,Grayscale,40
High1,62,Grayscale,37
High1,63,Grayscale,41
High1,64,Grayscale,60
High1,65,Grayscale,45
High1,66,Grayscale,19
High1,67,Grayscale,69
High1,68,Grayscale,30
High1,69,Grayscale,85
High1,70,Grayscale,14
High1,1,Hot,80
High1,2,Hot,4
High1,3,Hot,40
High1,4,Hot,2
High1,5,Hot,3
High1,6,Hot,68
High1,7,Hot,98
High1,8,Hot,66
High1,9,Hot,44
High1,10,Hot,64
High1,11,Hot,56
High1,12,Hot,40
High1,13,Hot,38
High1,14,Hot,11
High1,15,Hot,93
High1,16,Hot,40
High1,17,Hot,69
High1,18,Hot,0
High1,19,Hot,2
High1,20,Hot,62
High1,21,Hot,48
High1,22,Hot,31
High1,23,Hot,79
High1,24,Hot,92
High1,25,Hot,37
High1,26,Hot,31
High1,27,Hot,17
High1,28,Hot,8
High1,29,Hot,47
High1,30,Hot,84
High1,31,Hot,4
High1,32,Hot,100
High1,33,Hot,6
High1,34,Hot,73
High1,35,Hot,22
High1,36,Hot,34
High1,37,Hot,13
High1,38,Hot,3
High1,39,Hot,44
High1,40,Hot,29
High1,41,Hot,30
High1,42,Hot,82
High1,43,Hot,63
High1,44,Hot,13
High1,45,Hot,54
High1,46,Hot,32
High1,47,Hot,18
High1,48,Hot,7
High1,49,Hot,27
High1,50,Hot,82
High1,51,Hot,75
High1,52,Hot,69
High1,53,Hot,28
High1,54,Hot,24
High1,55,Hot,75
High1,56,Hot,15
High1,57,Hot,0
High1,58,Hot,83
High1,59,Hot,88
High1,60,Hot,56
High1,61,Hot,30
High1,62,Hot,0
High1,63,Hot,15
High1,64,Hot,54
High1,65,Hot,1
High1,66,Hot,27
High1,67,Hot,70
High1,68,Hot,41
High1,69,Hot,62
High1,70,Hot,0
High1,1,Rainbow,36
High1,2,Rainbow,11
High1,3,Rainbow,19
High1,4,Rainbow,7
High1,5,Rainbow,4
High1,6,Rainbow,54
High1,7,Rainbow,65
High1,8,Rainbow,54
High1,9,Rainbow,6
High1,10,Rainbow,24
High1,11,Rainbow,62
High1,12,Rainbow,61
High1,13,Rainbow,57
High1,14,Rainbow,11
High1,15,Rainbow,73
High1,16,Rainbow,54
High1,17,Rainbow,79
High1,18,Rainbow,10
High1,19,Rainbow,0
High1,20,Rainbow,67
High1,21,Rainbow,15
High1,22,Rainbow,57
High1,23,Rainbow,96
High1,24,Rainbow,78
High1,25,Rainbow,6
High1,26,Rainbow,10
High1,27,Rainbow,5
High1,28,Rainbow,16
High1,29,Rainbow,65
High1,30,Rainbow,77
High1,31,Rainbow,38
High1,32,Rainbow,72
High1,33,Rainbow,10
High1,34,Rainbow,59
High1,35,Rainbow,10
High1,36,Rainbow,6
High1,37,Rainbow,22
High1,38,Rainbow,23
High1,39,Rainbow,45
High1,40,Rainbow,21
High1,41,Rainbow,37
High1,42,Rainbow,62
High1,43,Rainbow,68
High1,44,Rainbow,25
High1,45,Rainbow,35
High1,46,Rainbow,37
High1,47,Rainbow,19
High1,48,Rainbow,11
High1,49,Rainbow,17
High1,50,Rainbow,78
High1,51,Rainbow,100
High1,52,Rainbow,60
High1,53,Rainbow,14
High1,54,Rainbow,6
High1,55,Rainbow,75
High1,56,Rainbow,44
High1,57,Rainbow,11
High1,58,Rainbow,96
High1,59,Rainbow,62
High1,60,Rainbow,38
High1,61,Rainbow,23
High1,62,Rainbow,14
High1,63,Rainbow,54
High1,64,Rainbow,68
High1,65,Rainbow,0
High1,66,Rainbow,12
High1,67,Rainbow,54
High1,68,Rainbow,11
High1,69,Rainbow,85
High1,70,Rainbow,4
Low2,1,Grayscale,55
Low2,2,Grayscale,10
Low2,3,Grayscale,21
Low2,4,Grayscale,32
Low2,8,Grayscale,77
Low2,10,Grayscale,65
Low2,11,Grayscale,76
Low2,13,Grayscale,65
Low2,14,Grayscale,21
Low2,15,Grayscale,100
Low2,16,Grayscale,22
Low2,17,Grayscale,100
Low2,19,Grayscale,10
Low2,20,Grayscale,76
Low2,21,Grayscale,10
Low2,22,Grayscale,65
Low2,24,Grayscale,100
Low2,26,Grayscale,22
Low2,27,Grayscale,10
Low2,28,Grayscale,55
Low2,29,Grayscale,33
Low2,30,Grayscale,75
Low2,31,Grayscale,65
Low2,32,Grayscale,76
Low2,33,Grayscale,21
Low2,34,Grayscale,87
Low2,36,Grayscale,43
Low2,38,Grayscale,32
Low2,40,Grayscale,32
Low2,41,Grayscale,21
Low2,42,Grayscale,76
Low2,43,Grayscale,65
Low2,44,Grayscale,32
Low2,45,Grayscale,22
Low2,46,Grayscale,21
Low2,47,Grayscale,32
Low2,48,Grayscale,65
Low2,49,Grayscale,21
Low2,51,Grayscale,76
Low2,52,Grayscale,100
Low2,53,Grayscale,21
Low2,54,Grayscale,32
Low2,56,Grayscale,23
Low2,57,Grayscale,21
Low2,58,Grayscale,76
Low2,59,Grayscale,88
Low2,60,Grayscale,21
Low2,62,Grayscale,22
Low2,65,Grayscale,54
Low2,66,Grayscale,10
Low2,67,Grayscale,87
Low2,70,Grayscale,54
Low2,1,Hot,0
Low2,2,Hot,23
Low2,3,Hot,9
Low2,4,Hot,10
Low2,5,Hot,12
Low2,6,Hot,66
Low2,7,Hot,65
Low2,8,Hot,65
Low2,9,Hot,54
Low2,10,Hot,76
Low2,11,Hot,77
Low2,12,Hot,65
Low2,13,Hot,21
Low2,14,Hot,21
Low2,15,Hot,65
Low2,17,Hot,76
Low2,18,Hot,10
Low2,20,Hot,76
Low2,22,Hot,9
Low2,24,Hot,22
Low2,25,Hot,0
Low2,26,Hot,6
Low2,28,Hot,32
Low2,29,Hot,21
Low2,30,Hot,76
Low2,32,Hot,32
Low2,34,Hot,76
Low2,35,Hot,20
Low2,36,Hot,20
Low2,37,Hot,22
Low2,38,Hot,10
Low2,39,Hot,53
Low2,40,Hot,0
Low2,41,Hot,75
Low2,42,Hot,65
Low2,44,Hot,66
Low2,46,Hot,9
Low2,47,Hot,19
Low2,48,Hot,10
Low2,49,Hot,66
Low2,50,Hot,76
Low2,51,Hot,64
Low2,53,Hot,65
Low2,54,Hot,10
Low2,55,Hot,75
Low2,56,Hot,21
Low2,57,Hot,9
Low2,58,Hot,75
Low2,60,Hot,21
Low2,61,Hot,76
Low2,62,Hot,11
Low2,64,Hot,43
Low2,66,Hot,54
Low2,68,Hot,54
Low2,69,Hot,76
Low2,70,Hot,10
Low2,1,Rainbow,17
Low2,2,Rainbow,65
Low2,3,Rainbow,18
Low2,4,Rainbow,19
Low2,5,Rainbow,11
Low2,6,Rainbow,64
Low2,7,Rainbow,31
Low2,8,Rainbow,65
Low2,9,Rainbow,62
Low2,10,Rainbow,22
Low2,11,Rainbow,68
Low2,12,Rainbow,77
Low2,13,Rainbow,25
Low2,14,Rainbow,15
Low2,15,Rainbow,68
Low2,17,Rainbow,71
Low2,18,Rainbow,23
Low2,20,Rainbow,32
Low2,22,Rainbow,43
Low2,24,Rainbow,77
Low2,25,Rainbow,12
Low2,26,Rainbow,50
Low2,28,Rainbow,65
Low2,29,Rainbow,22
Low2,30,Rainbow,68
Low2,32,Rainbow,32
Low2,34,Rainbow,55
Low2,35,Rainbow,16
Low2,36,Rainbow,26
Low2,37,Rainbow,42
Low2,38,Rainbow,9
Low2,39,Rainbow,54
Low2,40,Rainbow,6
Low2,41,Rainbow,61
Low2,42,Rainbow,54
Low2,44,Rainbow,20
Low2,46,Rainbow,3
Low2,47,Rainbow,33
Low2,48,Rainbow,40
Low2,49,Rainbow,64
Low2,50,Rainbow,30
Low2,51,Rainbow,66
Low2,53,Rainbow,65
Low2,54,Rainbow,29
Low2,55,Rainbow,58
Low2,56,Rainbow,44
Low2,57,Rainbow,22
Low2,58,Rainbow,76
Low2,60,Rainbow,30
Low2,61,Rainbow,66
Low2,62,Rainbow,12
Low2,64,Rainbow,20
Low2,66,Rainbow,33
Low2,68,Rainbow,39
Low2,69,Rainbow,80
Low2,70,Rainbow,19
Low3,71,Grayscale,55
Low3,72,Grayscale,35
Low3,73,Grayscale,10
Low3,74,Grayscale,65
Low3,75,Grayscale,32
Low3,76,Grayscale,44
Low3,77,Grayscale,43
Low3,78,Grayscale,54
Low3,79,Grayscale,35
Low3,80,Grayscale,65
Low3,81,Grayscale,43
Low3,82,Grayscale,32
Low3,83,Grayscale,35
Low3,84,Grayscale,55
Low3,85,Grayscale,33
Low3,86,Grayscale,54
Low3,87,Grayscale,54
Low3,88,Grayscale,55
Low3,89,Grayscale,54
Low3,90,Grayscale,54
Low3,91,Grayscale,32
Low3,92,Grayscale,43
Low3,93,Grayscale,35
Low3,94,Grayscale,55
Low3,95,Grayscale,55
Low3,96,Grayscale,55
Low3,97,Grayscale,41
Low3,98,Grayscale,54
Low3,99,Grayscale,32
Low3,100,Grayscale,54
Low3,101,Grayscale,54
Low3,102,Grayscale,54
Low3,103,Grayscale,65
Low3,104,Grayscale,65
Low3,105,Grayscale,54
Low3,106,Grayscale,65
Low3,107,Grayscale,43
Low3,108,Grayscale,43
Low3,109,Grayscale,35
Low3,110,Grayscale,53
Low3,111,Grayscale,10
Low3,112,Grayscale,65
Low3,113,Grayscale,32
Low3,114,Grayscale,35
Low3,115,Grayscale,65
Low3,116,Grayscale,43
Low3,117,Grayscale,20
Low3,118,Grayscale,33
Low3,119,Grayscale,65
Low3,120,Grayscale,64
Low3,121,Grayscale,43
Low3,122,Grayscale,53
Low3,123,Grayscale,32
Low3,124,Grayscale,55
Low3,125,Grayscale,32
Low3,126,Grayscale,43
Low3,127,Grayscale,66
Low3,128,Grayscale,65
Low3,129,Grayscale,42
Low3,130,Grayscale,32
Low3,131,Grayscale,30
Low3,132,Grayscale,54
Low3,133,Grayscale,43
Low3,134,Grayscale,43
Low3,135,Grayscale,65
Low3,136,Grayscale,52
Low3,137,Grayscale,65
Low3,138,Grayscale,54
Low3,139,Grayscale,65
Low3,140,Grayscale,43
Low3,71,Hot,54
Low3,72,Hot,30
Low3,73,Hot,43
Low3,74,Hot,43
Low3,75,Hot,32
Low3,76,Hot,43
Low3,77,Hot,40
Low3,78,Hot,66
Low3,79,Hot,43
Low3,80,Hot,65
Low3,81,Hot,20
Low3,82,Hot,65
Low3,83,Hot,43
Low3,84,Hot,44
Low3,85,Hot,32
Low3,86,Hot,54
Low3,87,Hot,54
Low3,88,Hot,66
Low3,89,Hot,65
Low3,90,Hot,43
Low3,91,Hot,65
Low3,92,Hot,42
Low3,93,Hot,32
Low3,94,Hot,32
Low3,95,Hot,32
Low3,96,Hot,54
Low3,97,Hot,86
Low3,98,Hot,65
Low3,99,Hot,43
Low3,100,Hot,60
Low3,101,Hot,64
Low3,102,Hot,53
Low3,103,Hot,32
Low3,104,Hot,42
Low3,105,Hot,20
Low3,106,Hot,54
Low3,107,Hot,43
Low3,108,Hot,65
Low3,109,Hot,43
Low3,110,Hot,43
Low3,111,Hot,43
Low3,112,Hot,54
Low3,113,Hot,32
Low3,114,Hot,44
Low3,115,Hot,55
Low3,116,Hot,70
Low3,117,Hot,44
Low3,118,Hot,43
Low3,119,Hot,54
Low3,120,Hot,42
Low3,121,Hot,65
Low3,122,Hot,32
Low3,123,Hot,66
Low3,124,Hot,30
Low3,125,Hot,42
Low3,126,Hot,54
Low3,127,Hot,66
Low3,128,Hot,43
Low3,129,Hot,66
Low3,130,Hot,43
Low3,131,Hot,20
Low3,132,Hot,32
Low3,133,Hot,43
Low3,134,Hot,21
Low3,135,Hot,54
Low3,136,Hot,65
Low3,137,Hot,66
Low3,138,Hot,40
Low3,139,Hot,70
Low3,140,Hot,33
Low3,71,Rainbow,54
Low3,72,Rainbow,54
Low3,73,Rainbow,32
Low3,74,Rainbow,30
Low3,75,Rainbow,30
Low3,76,Rainbow,32
Low3,77,Rainbow,33
Low3,78,Rainbow,30
Low3,79,Rainbow,40
Low3,80,Rainbow,31
Low3,81,Rainbow,32
Low3,82,Rainbow,32
Low3,83,Rainbow,30
Low3,84,Rainbow,30
Low3,85,Rainbow,44
Low3,86,Rainbow,32
Low3,87,Rainbow,32
Low3,88,Rainbow,55
Low3,89,Rainbow,42
Low3,90,Rainbow,30
Low3,91,Rainbow,70
Low3,92,Rainbow,75
