Reader,Case number,Modality (Color scale),Confidence score
High1,1,Grayscale,58
High1,2,Grayscale,95
High1,3,Grayscale,79
High1,4,Grayscale,67
High1,5,Grayscale,77
High1,6,Grayscale,78
High1,7,Grayscale,58
High1,8,Grayscale,44
High1,9,Grayscale,85
High1,10,Grayscale,82
High1,11,Grayscale,54
High1,12,Grayscale,92
High1,13,Grayscale,65
High1,14,Grayscale,60
High1,15,Grayscale,71
High1,16,Grayscale,64
High1,17,Grayscale,67
High1,18,Grayscale,64
High1,19,Grayscale,54
High1,20,Grayscale,66
High1,21,Grayscale,59
High1,22,Grayscale,83
High1,23,Grayscale,54
High1,24,Grayscale,37
High1,25,Grayscale,60
High1,26,Grayscale,70
High1,27,Grayscale,35
High1,28,Grayscale,70
High1,29,Grayscale,56
High1,30,Grayscale,56
High1,31,Grayscale,39
High1,32,Grayscale,55
High1,33,Grayscale,54
High1,34,Grayscale,40
High1,35,Grayscale,59
High1,36,Grayscale,36
High1,37,Grayscale,57
High1,38,Grayscale,80
High1,39,Grayscale,68
High1,40,Grayscale,52
High1,41,Grayscale,43
High1,42,Grayscale,65
High1,43,Grayscale,40
High1,44,Grayscale,54
High1,45,Grayscale,75
High1,46,Grayscale,58
High1,47,Grayscale,39
High1,48,Grayscale,36
High1,49,Grayscale,66
High1,50,Grayscale,56
High1,51,Grayscale,67
High1,52,Grayscale,59
High1,53,Grayscale,59
High1,54,Grayscale,42
High1,55,Grayscale,78
High1,1,Hot,70
High1,2,Hot,84
High1,3,Hot,61
High1,4,Hot,45
High1,5,Hot,72
High1,6,Hot,74
High1,7,Hot,65
High1,8,Hot,41
High1,9,Hot,63
High1,10,Hot,53
High1,11,Hot,41
High1,12,Hot,55
High1,13,Hot,49
High1,14,Hot,55
High1,15,Hot,67
High1,16,Hot,43
High1,17,Hot,51
High1,18,Hot,52
High1,19,Hot,51
High1,20,Hot,46
High1,21,Hot,41
High1,22,Hot,82
High1,23,Hot,42
High1,24,Hot,42
High1,25,Hot,51
High1,26,Hot,51
High1,27,Hot,36
High1,28,Hot,43
High1,29,Hot,40
High1,30,Hot,54
High1,31,Hot,52
High1,32,Hot,53
High1,33,Hot,58
High1,34,Hot,38
High1,35,Hot,40
High1,36,Hot,54
High1,37,Hot,56
High1,38,Hot,42
High1,39,Hot,57
High1,40,Hot,54
High1,41,Hot,42
High1,42,Hot,54
High1,43,Hot,42
High1,44,Hot,39
High1,45,Hot,43
High1,46,Hot,43
High1,47,Hot,42
High1,48,Hot,56
High1,49,Hot,71
High1,50,Hot,54
High1,51,Hot,54
High1,52,Hot,67
High1,53,Hot,57
High1,54,Hot,41
High1,55,Hot,35
High1,1,Rainbow,53
High1,2,Rainbow,84
High1,3,Rainbow,60
High1,4,Rainbow,42
High1,5,Rainbow,73
High1,6,Rainbow,72
High1,7,Rainbow,57
